modello, fold, carbon_footprint (gCO2e), consumo_energetico (Wh)
XGBoost, 1, 17.74, 58.80
XGBoost, 2, 5.26, 17.43
XGBoost, 3, 1.71, 5.68
XGBoost, all, 24.61, 81.57
LightGBM, 1, 17.47, 57.92
LightGBM, 2, 4.97, 16.48
LightGBM, 3, 1.99, 6.61
LightGBM, all, 24.59, 81.52
Random Forest, 1, 17.76, 58.87
Random Forest, 2, 3.75, 12.43
Random Forest, 3, 0.8591, 2.85
Random Forest, all, 22.54, 74.41
Decision Tree, 1, 2.01, 6.65
Decision Tree, 2, 0.43105, 1.43
Decision Tree, 3, 0.14601, 0.484
Decision Tree, all, 2.60, 8.61