fold,pollutant,n_train,n_val,n_test,n_estimators,test_mae,test_rmse,test_r2,top3_feat,train_time_s,ram_delta_mb,ram_mean_mb,cpu_pct,best_params
Fold 1 — test invernale (nov–dic),CO,429149,39343,51015,250,122.92987772131191,212.26005557495543,0.6906885049321236,"lag_1h, lag_2h, roll_mean_6h",575.0,416.2,2005.1,89.6,"{'max_depth': 30, 'max_features': 0.3, 'min_samples_leaf': 11, 'min_samples_split': 9, 'bootstrap': False, 'n_estimators': 250}"
Fold 1 — test invernale (nov–dic),NO2,1814095,177545,221701,250,5.635121788736646,8.674518638080611,0.7041207034095015,"lag_1h, lag_2h, roll_mean_6h",3178.4,1965.9,1759.8,88.6,"{'max_depth': 27, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 20, 'bootstrap': False, 'n_estimators': 250}"
Fold 1 — test invernale (nov–dic),O3,1007470,100918,117136,250,7.030820346097002,10.51393641678434,0.8078949657550741,"lag_1h, lag_2h, roll_mean_6h",2384.1,2820.3,1644.9,87.6,"{'max_depth': 24, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 6, 'bootstrap': False, 'n_estimators': 250}"
Fold 1 — test invernale (nov–dic),PM10,349677,37817,45427,250,6.99996400611085,11.119497298073748,0.6483781446170614,"lag_1h, lag_2h, roll_mean_6h",644.6,513.5,511.4,88.3,"{'max_depth': 28, 'max_features': 0.5, 'min_samples_leaf': 21, 'min_samples_split': 6, 'bootstrap': False, 'n_estimators': 250}"
Fold 1 — test invernale (nov–dic),PM2.5,203195,21914,29249,250,6.243682068432723,10.60881156739154,0.5972073625542591,"lag_1h, roll_mean_6h, lag_2h",217.9,194.2,766.8,91.8,"{'max_depth': 30, 'max_features': 0.5, 'min_samples_leaf': 24, 'min_samples_split': 15, 'bootstrap': True, 'n_estimators': 250}"
Fold 1 — test invernale (nov–dic),SO2,490608,48460,64923,250,0.48821224796045015,0.9681397113116438,0.8442618580543638,"lag_1h, roll_mean_6h, lag_2h",456.3,711.2,1142.1,90.4,"{'max_depth': 23, 'max_features': 0.3, 'min_samples_leaf': 10, 'min_samples_split': 11, 'bootstrap': True, 'n_estimators': 250}"
Fold 2 — test estivo (giu–lug),CO,125045,54912,119344,250,48.24026163349467,97.80886326298096,0.8961211891246627,"lag_1h, lag_2h, roll_mean_6h",147.9,165.3,1967.6,91.4,"{'max_depth': 14, 'max_features': 0.5, 'min_samples_leaf': 30, 'min_samples_split': 8, 'bootstrap': False, 'n_estimators': 250}"
Fold 2 — test estivo (giu–lug),NO2,528638,234854,498290,250,3.2751653433280787,5.742985296983765,0.7308181829350398,"lag_1h, lag_2h, roll_mean_6h",647.3,1200.2,3163.6,90.4,"{'max_depth': 26, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 2, 'bootstrap': False, 'n_estimators': 250}"
Fold 2 — test estivo (giu–lug),O3,284286,132614,280137,250,7.460841517397686,10.94199533552171,0.8773319455733182,"lag_1h, lag_2h, roll_mean_6h",440.9,258.3,2825.9,89.2,"{'max_depth': 27, 'max_features': 0.5, 'min_samples_leaf': 6, 'min_samples_split': 7, 'bootstrap': True, 'n_estimators': 250}"
Fold 2 — test estivo (giu–lug),PM10,97539,45828,103694,250,3.8349653069909055,6.890682895971538,0.70127872153927,"lag_1h, lag_2h, roll_mean_6h",136.2,168.1,1278.4,89.8,"{'max_depth': 19, 'max_features': 0.5, 'min_samples_leaf': 22, 'min_samples_split': 11, 'bootstrap': False, 'n_estimators': 250}"
Fold 2 — test estivo (giu–lug),PM2.5,54702,23653,69097,250,2.7495561695659245,5.888220022303665,0.6584008638517258,"lag_1h, roll_mean_6h, lag_2h",66.7,100.1,782.4,88.6,"{'max_depth': 23, 'max_features': 0.5, 'min_samples_leaf': 21, 'min_samples_split': 5, 'bootstrap': False, 'n_estimators': 250}"
Fold 2 — test estivo (giu–lug),SO2,141870,62408,138169,250,0.4707249832871008,1.083141722610021,0.8370915936109187,"lag_1h, roll_mean_6h, lag_2h",145.0,191.5,1069.3,86.7,"{'max_depth': 21, 'max_features': 0.3, 'min_samples_leaf': 12, 'min_samples_split': 14, 'bootstrap': False, 'n_estimators': 250}"
Fold 3 — test primaverile (apr–mag),CO,37781,22881,119295,250,63.49936255575659,132.3203002656193,0.8268753961580714,"lag_1h, lag_2h, roll_mean_6h",32.1,47.4,1478.8,86.5,"{'max_depth': 26, 'max_features': 0.5, 'min_samples_leaf': 20, 'min_samples_split': 14, 'bootstrap': True, 'n_estimators': 250}"
Fold 3 — test primaverile (apr–mag),NO2,170031,100492,492969,250,3.7273092441904705,6.280891681296311,0.7209117672505259,"lag_1h, roll_mean_6h, lag_2h",169.0,1419.9,2282.7,90.7,"{'max_depth': 24, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 2, 'bootstrap': False, 'n_estimators': 250}"
Fold 3 — test primaverile (apr–mag),O3,89081,51659,276160,250,9.311941347653333,12.086862962028425,0.7702714474010159,"lag_1h, lag_2h, roll_mean_6h",76.0,95.5,1876.4,89.2,"{'max_depth': 28, 'max_features': 0.3, 'min_samples_leaf': 21, 'min_samples_split': 6, 'bootstrap': False, 'n_estimators': 250}"
Fold 3 — test primaverile (apr–mag),PM10,33866,20300,89201,250,3.698870718188666,6.433521782149161,0.6347143996551684,"lag_1h, lag_2h, roll_mean_6h",28.4,9.8,673.3,84.6,"{'max_depth': 25, 'max_features': 0.5, 'min_samples_leaf': 24, 'min_samples_split': 10, 'bootstrap': True, 'n_estimators': 250}"
Fold 3 — test primaverile (apr–mag),PM2.5,20252,11659,46444,250,3.4072869378860355,17.017137044086553,0.8061538804737354,"lag_1h, roll_mean_6h, lag_2h",17.7,15.0,588.9,81.2,"{'max_depth': 20, 'max_features': 0.5, 'min_samples_leaf': 10, 'min_samples_split': 9, 'bootstrap': True, 'n_estimators': 250}"
Fold 3 — test primaverile (apr–mag),SO2,46033,27772,130473,250,0.3776824201202706,0.8650322356008708,0.871485438260775,"lag_1h, roll_mean_6h, lag_2h",37.0,34.6,783.5,88.4,"{'max_depth': 23, 'max_features': 0.5, 'min_samples_leaf': 34, 'min_samples_split': 9, 'bootstrap': True, 'n_estimators': 250}"
